,DATETIME,LAT,LONG,DEPTH,MAGNITUDE
5376,12/10/1979 21:30,39.3,22.9,10,3.3
5377,12/11/1979 15:33,38.1,22.4,10,3.2
5378,12/14/1979 5:09,36.5,25.7,10,3.5
5379,12/18/1979 22:48,39.6,20.1,10,3.8
5380,12/19/1979 1:41,38.2,25.7,10,3.0
5381,12/20/1979 1:33,38.5,21.7,10,3.0
5382,12/20/1979 1:40,38.5,21.7,10,3.1
5383,12/27/1979 1:48,37.5,22.7,10,2.9
5384,12/28/1979 1:26,37.8,22.7,10,2.8
5385,12/28/1979 9:41,39.3,22.9,10,3.1
5386,12/29/1979 14:21,39.3,23.0,10,3.1
5387,12/30/1979 9:20,39.7,23.0,10,3.3
5388,12/30/1979 14:27,39.1,23.2,10,3.3
5389,12/31/1979 7:39,35.4,27.3,10,4.4
5390,1/2/1980 5:23,39.3,23.0,10,3.1
5391,1/2/1980 18:04,39.3,23.0,10,3.9
5392,1/2/1980 18:16,39.2,23.0,10,3.3
5393,1/2/1980 18:52,39.3,22.9,10,3.3
5394,1/2/1980 21:03,39.3,22.8,10,2.9
5395,1/4/1980 5:43,39.2,23.0,10,3.1
5396,1/4/1980 22:00,39.3,23.0,10,3.3
5397,1/6/1980 0:06,39.3,22.9,10,3.0
5398,1/6/1980 8:55,39.3,22.9,10,3.2
5399,1/6/1980 9:14,39.3,22.9,10,3.2
5400,1/6/1980 13:20,38.4,22.0,10,2.9
5401,1/6/1980 13:54,39.3,23.0,10,2.9
5402,1/8/1980 16:23,39.1,23.3,10,3.3
5403,1/9/1980 11:55,38.4,20.3,10,3.6
5404,1/10/1980 19:36,39.6,20.3,10,4.2
5405,1/11/1980 0:39,38.4,20.4,10,3.8
5406,1/11/1980 3:38,38.4,20.5,10,3.7
5407,1/11/1980 11:03,39.3,22.9,10,2.9
5408,1/12/1980 14:45,40.7,23.5,10,3.8
5409,1/18/1980 23:00,39.1,23.3,10,2.9
5410,1/20/1980 9:02,38.6,23.7,10,3.1
5411,1/21/1980 7:15,39.3,23.0,10,4.0
5412,1/21/1980 7:47,39.3,23.0,10,4.1
5413,1/21/1980 11:06,39.2,23.0,10,2.8
5414,1/21/1980 14:35,39.3,23.0,10,3.0
5415,1/21/1980 19:49,39.3,23.0,10,3.1
5416,1/22/1980 0:31,39.3,23.0,10,2.8
5417,1/22/1980 2:18,39.0,24.2,10,2.9
5418,1/22/1980 12:47,39.3,23.0,10,3.1
5419,1/22/1980 12:54,39.3,22.9,10,3.0
5420,1/22/1980 13:39,39.3,23.0,10,3.0
5421,1/22/1980 21:35,39.3,23.0,10,3.0
5422,1/22/1980 21:43,38.8,23.6,10,3.5
5423,1/23/1980 1:58,39.3,23.0,10,3.1
5424,1/24/1980 11:37,39.3,23.0,10,3.1
5425,1/24/1980 13:58,39.3,22.9,10,3.0
5426,1/25/1980 10:36,39.3,22.9,10,3.3
5427,1/25/1980 14:57,39.1,23.5,10,2.9
5428,1/25/1980 19:00,39.0,23.7,10,2.7
5429,1/25/1980 23:08,39.3,23.0,10,4.2
5430,1/26/1980 7:38,39.3,23.0,10,3.1
5431,1/31/1980 4:20,38.5,22.6,10,3.1
5432,1/31/1980 22:38,38.3,20.3,10,3.6
5433,2/1/1980 0:03,37.8,22.2,10,2.8
5434,2/1/1980 22:49,39.1,23.4,10,3.1
5435,2/2/1980 19:25,38.1,22.0,10,2.8
5436,2/6/1980 21:13,37.8,21.9,10,3.2
5437,2/7/1980 16:27,38.7,21.5,10,3.1
5438,2/7/1980 19:04,37.8,21.3,70,3.9
5439,2/11/1980 3:39,39.3,23.0,10,3.0
5440,2/14/1980 23:04,38.2,22.6,10,2.6
5441,2/15/1980 7:40,39.2,23.1,10,2.9
5442,2/15/1980 8:31,39.2,23.0,10,2.8
5443,2/15/1980 19:21,40.5,26.0,10,4.2
